model,conversation_thread,scenario_id,choice,reason
llama3.2,109,1,B,N/A
llama3.2,109,2,B,N/A
llama3.2,109,3,B,N/A
llama3.2,109,4,B,N/A
llama3.2,109,5,B,N/A
llama3.2,109,6,B,N/A
llama3.2,109,7,A,N/A
llama3.2,109,8,B,N/A
llama3.2,110,1,B,N/A
llama3.2,110,2,B,N/A
llama3.2,110,3,A,N/A
llama3.2,110,4,B,N/A
llama3.2,110,5,C,N/A
llama3.2,110,6,C,N/A
llama3.2,110,7,C,N/A
llama3.2,110,8,C,N/A
llama3.2,111,1,B,N/A
llama3.2,111,2,B,N/A
llama3.2,111,3,B,N/A
llama3.2,111,4,B,N/A
llama3.2,111,5,A,N/A
llama3.2,111,6,B,N/A
llama3.2,111,7,A,N/A
llama3.2,111,8,C,N/A
llama3.2,112,1,B,N/A
llama3.2,112,2,B,N/A
llama3.2,112,3,A,N/A
llama3.2,112,4,B,N/A
llama3.2,112,5,B,N/A
llama3.2,112,6,C,N/A
llama3.2,112,7,A,N/A
llama3.2,112,8,B,N/A
llama3.2,113,1,B,N/A
llama3.2,113,2,B,N/A
llama3.2,113,3,A,N/A
llama3.2,113,4,B,N/A
llama3.2,113,5,B,N/A
llama3.2,113,6,B,N/A
llama3.2,113,7,B,N/A
llama3.2,113,8,B,N/A
llama3.2,114,1,B,N/A
llama3.2,114,2,B,N/A
llama3.2,114,3,A,N/A
llama3.2,114,4,B,N/A
llama3.2,114,5,B,N/A
llama3.2,114,6,B,N/A
llama3.2,114,7,B,N/A
llama3.2,114,8,B,N/A
llama3.2,115,1,B,N/A
llama3.2,115,2,B,N/A
llama3.2,115,3,A,N/A
llama3.2,115,4,B,N/A
llama3.2,115,5,B,N/A
llama3.2,115,6,B,N/A
llama3.2,115,7,B,N/A
llama3.2,115,8,B,N/A
llama3.2,116,1,B,N/A
llama3.2,116,2,B,N/A
llama3.2,116,3,A,N/A
llama3.2,116,4,B,N/A
llama3.2,116,5,B,N/A
llama3.2,116,6,B,N/A
llama3.2,116,7,A,N/A
llama3.2,116,8,C,N/A
llama3.2,117,1,B,N/A
llama3.2,117,2,B,N/A
llama3.2,117,3,B,N/A
llama3.2,117,4,C,N/A
llama3.2,117,5,C,N/A
llama3.2,117,6,B,N/A
llama3.2,117,7,A,N/A
llama3.2,117,8,A,N/A
llama3.2,118,1,B,N/A
llama3.2,118,2,B,N/A
llama3.2,118,3,A,N/A
llama3.2,118,4,B,N/A
llama3.2,118,5,C,N/A
llama3.2,118,6,B,N/A
llama3.2,118,7,B,N/A
llama3.2,118,8,C,N/A
llama3.2,119,1,B,N/A
llama3.2,119,2,B,N/A
llama3.2,119,3,A,N/A
llama3.2,119,4,B,N/A
llama3.2,119,5,B,N/A
llama3.2,119,6,B,N/A
llama3.2,119,7,A,N/A
llama3.2,119,8,B,N/A
llama3.2,120,1,B,N/A
llama3.2,120,2,B,N/A
llama3.2,120,3,A,N/A
llama3.2,120,4,B,N/A
llama3.2,120,5,B,N/A
llama3.2,120,6,B,N/A
llama3.2,120,7,A,N/A
llama3.2,120,8,B,N/A
llama3.2,121,1,B,N/A
llama3.2,121,2,B,N/A
llama3.2,121,3,A,N/A
llama3.2,121,4,C,N/A
llama3.2,121,5,B,N/A
llama3.2,121,6,B,N/A
llama3.2,121,7,A,N/A
llama3.2,121,8,A,N/A
llama3.2,122,1,B,N/A
llama3.2,122,2,B,N/A
llama3.2,122,3,A,N/A
llama3.2,122,4,B,N/A
llama3.2,122,5,B,N/A
llama3.2,122,6,B,N/A
llama3.2,122,7,B,N/A
llama3.2,122,8,A,N/A
llama3.2,123,1,B,N/A
llama3.2,123,2,B,N/A
llama3.2,123,3,A,N/A
llama3.2,123,4,B,N/A
llama3.2,123,5,B,N/A
llama3.2,123,6,B,N/A
llama3.2,123,7,A,N/A
llama3.2,123,8,B,N/A
llama3.2,124,1,C,N/A
llama3.2,124,2,B,N/A
llama3.2,124,3,A,N/A
llama3.2,124,4,B,N/A
llama3.2,124,5,B,N/A
llama3.2,124,6,C,N/A
llama3.2,124,7,A,N/A
llama3.2,124,8,C,N/A
llama3.2,125,1,B,N/A
llama3.2,125,2,B,N/A
llama3.2,125,3,A,N/A
llama3.2,125,4,B,N/A
llama3.2,125,5,C,N/A
llama3.2,125,6,C,N/A
llama3.2,125,7,C,N/A
llama3.2,125,8,C,N/A
llama3.2,126,1,B,N/A
llama3.2,126,2,B,N/A
llama3.2,126,3,A,N/A
llama3.2,126,4,B,N/A
llama3.2,126,5,B,N/A
llama3.2,126,6,B,N/A
llama3.2,126,7,B,N/A
llama3.2,126,8,B,N/A
llama3.2,127,1,B,N/A
llama3.2,127,2,B,N/A
llama3.2,127,3,B,N/A
llama3.2,127,4,C,N/A
llama3.2,127,5,C,N/A
llama3.2,127,6,C,N/A
llama3.2,127,7,C,N/A
llama3.2,127,8,C,N/A
llama3.2,128,1,B,N/A
llama3.2,128,2,B,N/A
llama3.2,128,3,A,N/A
llama3.2,128,4,A,N/A
llama3.2,128,5,B,N/A
llama3.2,128,6,B,N/A
llama3.2,128,7,B,N/A
llama3.2,128,8,B,N/A
llama3.2,129,1,B,N/A
llama3.2,129,2,B,N/A
llama3.2,129,3,A,N/A
llama3.2,129,4,B,N/A
llama3.2,129,5,B,N/A
llama3.2,129,6,B,N/A
llama3.2,129,7,B,N/A
llama3.2,129,8,B,N/A
llama3.2,130,1,B,N/A
llama3.2,130,2,B,N/A
llama3.2,130,3,B,N/A
llama3.2,130,4,B,N/A
llama3.2,130,5,A,N/A
llama3.2,130,6,B,N/A
llama3.2,130,7,B,N/A
llama3.2,130,8,C,N/A
llama3.2,131,1,C,N/A
llama3.2,131,2,B,N/A
llama3.2,131,3,C,N/A
llama3.2,131,4,B,N/A
llama3.2,131,5,C,N/A
llama3.2,131,6,C,N/A
llama3.2,131,7,C,N/A
llama3.2,131,8,C,N/A
llama3.2,132,1,B,N/A
llama3.2,132,2,B,N/A
llama3.2,132,3,A,N/A
llama3.2,132,4,C,N/A
llama3.2,132,5,C,N/A
llama3.2,132,6,C,N/A
llama3.2,132,7,C,N/A
llama3.2,132,8,C,N/A
llama3.2,133,1,B,N/A
llama3.2,133,2,B,N/A
llama3.2,133,3,A,N/A
llama3.2,133,4,B,N/A
llama3.2,133,5,B,N/A
llama3.2,133,6,B,N/A
llama3.2,133,7,A,N/A
llama3.2,133,8,B,N/A
llama3.2,134,1,C,N/A
llama3.2,134,2,B,N/A
llama3.2,134,3,B,N/A
llama3.2,134,4,A,N/A
llama3.2,134,5,B,N/A
llama3.2,134,6,B,N/A
llama3.2,134,7,B,N/A
llama3.2,134,8,B,N/A
llama3.2,135,1,B,N/A
llama3.2,135,2,B,N/A
llama3.2,135,3,A,N/A
llama3.2,135,4,B,N/A
llama3.2,135,5,B,N/A
llama3.2,135,6,B,N/A
llama3.2,135,7,A,N/A
llama3.2,135,8,B,N/A
llama3.2,136,1,B,N/A
llama3.2,136,2,B,N/A
llama3.2,136,3,A,N/A
llama3.2,136,4,B,N/A
llama3.2,136,5,B,N/A
llama3.2,136,6,C,N/A
llama3.2,136,7,B,N/A
llama3.2,136,8,B,N/A
llama3.2,137,1,B,N/A
llama3.2,137,2,B,N/A
llama3.2,137,3,A,N/A
llama3.2,137,4,B,N/A
llama3.2,137,5,B,N/A
llama3.2,137,6,B,N/A
llama3.2,137,7,B,N/A
llama3.2,137,8,B,N/A
llama3.2,138,1,B,N/A
llama3.2,138,2,B,N/A
llama3.2,138,3,A,N/A
llama3.2,138,4,B,N/A
llama3.2,138,5,B,N/A
llama3.2,138,6,C,N/A
llama3.2,138,7,A,N/A
llama3.2,138,8,C,N/A
llama3.2,139,1,B,N/A
llama3.2,139,2,B,N/A
llama3.2,139,3,A,N/A
llama3.2,139,4,A,N/A
llama3.2,139,5,C,N/A
llama3.2,139,6,B,N/A
llama3.2,139,7,A,N/A
llama3.2,139,8,B,N/A
llama3.2,140,1,B,N/A
llama3.2,140,2,B,N/A
llama3.2,140,3,A,N/A
llama3.2,140,4,B,N/A
llama3.2,140,5,C,N/A
llama3.2,140,6,B,N/A
llama3.2,140,7,A,N/A
llama3.2,140,8,B,N/A
llama3.2,141,1,B,N/A
llama3.2,141,2,B,N/A
llama3.2,141,3,A,N/A
llama3.2,141,4,B,N/A
llama3.2,141,5,B,N/A
llama3.2,141,6,B,N/A
llama3.2,141,7,A,N/A
llama3.2,141,8,B,N/A
llama3.2,142,1,B,N/A
llama3.2,142,2,B,N/A
llama3.2,142,3,A,N/A
llama3.2,142,4,C,N/A
llama3.2,142,5,A,N/A
llama3.2,142,6,C,N/A
llama3.2,142,7,A,N/A
llama3.2,142,8,B,N/A
llama3.2,143,1,B,N/A
llama3.2,143,2,B,N/A
llama3.2,143,3,A,N/A
llama3.2,143,4,A,N/A
llama3.2,143,5,B,N/A
llama3.2,143,6,B,N/A
llama3.2,143,7,B,N/A
llama3.2,143,8,B,N/A
llama3.2,144,1,B,N/A
llama3.2,144,2,B,N/A
llama3.2,144,3,A,N/A
llama3.2,144,4,B,N/A
llama3.2,144,5,B,N/A
llama3.2,144,6,B,N/A
llama3.2,144,7,A,N/A
llama3.2,144,8,A,N/A
llama3.2,145,1,B,N/A
llama3.2,145,2,B,N/A
llama3.2,145,3,A,N/A
llama3.2,145,4,B,N/A
llama3.2,145,5,B,N/A
llama3.2,145,6,C,N/A
llama3.2,145,7,A,N/A
llama3.2,145,8,C,N/A
llama3.2,146,1,B,N/A
llama3.2,146,2,B,N/A
llama3.2,146,3,A,N/A
llama3.2,146,4,B,N/A
llama3.2,146,5,B,N/A
llama3.2,146,6,B,N/A
llama3.2,146,7,A,N/A
llama3.2,146,8,B,N/A
llama3.2,147,1,B,N/A
llama3.2,147,2,B,N/A
llama3.2,147,3,C,N/A
llama3.2,147,4,B,N/A
llama3.2,147,5,A,N/A
llama3.2,147,6,A,N/A
llama3.2,147,7,A,N/A
llama3.2,147,8,B,N/A
llama3.2,148,1,B,N/A
llama3.2,148,2,B,N/A
llama3.2,148,3,A,N/A
llama3.2,148,4,B,N/A
llama3.2,148,5,C,N/A
llama3.2,148,6,B,N/A
llama3.2,148,7,A,N/A
llama3.2,148,8,B,N/A
llama3.2,149,1,B,N/A
llama3.2,149,2,B,N/A
llama3.2,149,3,A,N/A
llama3.2,149,4,B,N/A
llama3.2,149,5,A,N/A
llama3.2,149,6,B,N/A
llama3.2,149,7,B,N/A
llama3.2,149,8,A,N/A
llama3.2,150,1,B,N/A
llama3.2,150,2,B,N/A
llama3.2,150,3,A,N/A
llama3.2,150,4,B,N/A
llama3.2,150,5,B,N/A
llama3.2,150,6,A,N/A
llama3.2,150,7,A,N/A
llama3.2,150,8,C,N/A
llama3.2,151,1,B,N/A
llama3.2,151,2,B,N/A
llama3.2,151,3,A,N/A
llama3.2,151,4,B,N/A
llama3.2,151,5,B,N/A
llama3.2,151,6,B,N/A
llama3.2,151,7,B,N/A
llama3.2,151,8,B,N/A
llama3.2,152,1,B,N/A
llama3.2,152,2,B,N/A
llama3.2,152,3,A,N/A
llama3.2,152,4,A,N/A
llama3.2,152,5,B,N/A
llama3.2,152,6,A,N/A
llama3.2,152,7,A,N/A
llama3.2,152,8,B,N/A
llama3.2,153,1,B,N/A
llama3.2,153,2,B,N/A
llama3.2,153,3,A,N/A
llama3.2,153,4,A,N/A
llama3.2,153,5,B,N/A
llama3.2,153,6,B,N/A
llama3.2,153,7,A,N/A
llama3.2,153,8,B,N/A
llama3.2,154,1,B,N/A
llama3.2,154,2,B,N/A
llama3.2,154,3,B,N/A
llama3.2,154,4,B,N/A
llama3.2,154,5,B,N/A
llama3.2,154,6,B,N/A
llama3.2,154,7,A,N/A
llama3.2,154,8,B,N/A
llama3.2,155,1,B,N/A
llama3.2,155,2,B,N/A
llama3.2,155,3,A,N/A
llama3.2,155,4,A,N/A
llama3.2,155,5,B,N/A
llama3.2,155,6,B,N/A
llama3.2,155,7,B,N/A
llama3.2,155,8,C,N/A
llama3.2,156,1,B,N/A
llama3.2,156,2,B,N/A
llama3.2,156,3,A,N/A
llama3.2,156,4,B,N/A
llama3.2,156,5,A,N/A
llama3.2,156,6,B,N/A
llama3.2,156,7,A,N/A
llama3.2,156,8,B,N/A
llama3.2,157,1,B,N/A
llama3.2,157,2,B,N/A
llama3.2,157,3,A,N/A
llama3.2,157,4,B,N/A
llama3.2,157,5,B,N/A
llama3.2,157,6,C,N/A
llama3.2,157,7,B,N/A
llama3.2,157,8,A,N/A
llama3.2,158,1,B,N/A
llama3.2,158,2,B,N/A
llama3.2,158,3,A,N/A
llama3.2,158,4,B,N/A
llama3.2,158,5,B,N/A
llama3.2,158,6,C,N/A
llama3.2,158,7,A,N/A
llama3.2,158,8,B,N/A
llama3.2,159,1,B,N/A
llama3.2,159,2,B,N/A
llama3.2,159,3,B,N/A
llama3.2,159,4,B,N/A
llama3.2,159,5,C,N/A
llama3.2,159,6,B,N/A
llama3.2,159,7,A,N/A
llama3.2,159,8,B,N/A
llama3.2,160,1,B,N/A
llama3.2,160,2,B,N/A
llama3.2,160,3,A,N/A
llama3.2,160,4,B,N/A
llama3.2,160,5,A,N/A
llama3.2,160,6,B,N/A
llama3.2,160,7,A,N/A
llama3.2,160,8,B,N/A
llama3.2,161,1,B,N/A
llama3.2,161,2,B,N/A
llama3.2,161,3,A,N/A
llama3.2,161,4,C,N/A
llama3.2,161,5,A,N/A
llama3.2,161,6,C,N/A
llama3.2,161,7,B,N/A
llama3.2,161,8,C,N/A
llama3.2,162,1,B,N/A
llama3.2,162,2,B,N/A
llama3.2,162,3,A,N/A
llama3.2,162,4,A,N/A
llama3.2,162,5,B,N/A
llama3.2,162,6,B,N/A
llama3.2,162,7,A,N/A
llama3.2,162,8,B,N/A
llama3.2,163,1,B,N/A
llama3.2,163,2,B,N/A
llama3.2,163,3,A,N/A
llama3.2,163,4,B,N/A
llama3.2,163,5,B,N/A
llama3.2,163,6,B,N/A
llama3.2,163,7,B,N/A
llama3.2,163,8,B,N/A
llama3.2,164,1,B,N/A
llama3.2,164,2,B,N/A
llama3.2,164,3,A,N/A
llama3.2,164,4,B,N/A
llama3.2,164,5,B,N/A
llama3.2,164,6,B,N/A
llama3.2,164,7,A,N/A
llama3.2,164,8,B,N/A
llama3.2,165,1,B,N/A
llama3.2,165,2,B,N/A
llama3.2,165,3,A,N/A
llama3.2,165,4,B,N/A
llama3.2,165,5,B,N/A
llama3.2,165,6,B,N/A
llama3.2,165,7,A,N/A
llama3.2,165,8,B,N/A
llama3.2,166,1,B,N/A
llama3.2,166,2,B,N/A
llama3.2,166,3,A,N/A
llama3.2,166,4,B,N/A
llama3.2,166,5,B,N/A
llama3.2,166,6,B,N/A
llama3.2,166,7,B,N/A
llama3.2,166,8,B,N/A
llama3.2,167,1,B,N/A
llama3.2,167,2,B,N/A
llama3.2,167,3,A,N/A
llama3.2,167,4,A,N/A
llama3.2,167,5,B,N/A
llama3.2,167,6,B,N/A
llama3.2,167,7,B,N/A
llama3.2,167,8,B,N/A
llama3.2,168,1,B,N/A
llama3.2,168,2,B,N/A
llama3.2,168,3,A,N/A
llama3.2,168,4,B,N/A
llama3.2,168,5,B,N/A
llama3.2,168,6,B,N/A
llama3.2,168,7,B,N/A
llama3.2,168,8,A,N/A
llama3.2,169,1,B,N/A
llama3.2,169,2,B,N/A
llama3.2,169,3,A,N/A
llama3.2,169,4,B,N/A
llama3.2,169,5,B,N/A
llama3.2,169,6,C,N/A
llama3.2,169,7,B,N/A
llama3.2,169,8,B,N/A
llama3.2,170,1,B,N/A
llama3.2,170,2,B,N/A
llama3.2,170,3,A,N/A
llama3.2,170,4,B,N/A
llama3.2,170,5,B,N/A
llama3.2,170,6,B,N/A
llama3.2,170,7,A,N/A
llama3.2,170,8,B,N/A
llama3.2,171,1,B,N/A
llama3.2,171,2,B,N/A
llama3.2,171,3,A,N/A
llama3.2,171,4,B,N/A
llama3.2,171,5,B,N/A
llama3.2,171,6,B,N/A
llama3.2,171,7,B,N/A
llama3.2,171,8,B,N/A
llama3.2,172,1,B,N/A
llama3.2,172,2,B,N/A
llama3.2,172,3,A,N/A
llama3.2,172,4,B,N/A
llama3.2,172,5,B,N/A
llama3.2,172,6,B,N/A
llama3.2,172,7,B,N/A
llama3.2,172,8,B,N/A
llama3.2,173,1,C,N/A
llama3.2,173,2,B,N/A
llama3.2,173,3,A,N/A
llama3.2,173,4,B,N/A
llama3.2,173,5,A,N/A
llama3.2,173,6,B,N/A
llama3.2,173,7,B,N/A
llama3.2,173,8,B,N/A
llama3.2,174,1,B,N/A
llama3.2,174,2,B,N/A
llama3.2,174,3,B,N/A
llama3.2,174,4,B,N/A
llama3.2,174,5,B,N/A
llama3.2,174,6,B,N/A
llama3.2,174,7,A,N/A
llama3.2,174,8,B,N/A
llama3.2,175,1,B,N/A
llama3.2,175,2,B,N/A
llama3.2,175,3,A,N/A
llama3.2,175,4,A,N/A
llama3.2,175,5,B,N/A
llama3.2,175,6,B,N/A
llama3.2,175,7,A,N/A
llama3.2,175,8,B,N/A
llama3.2,176,1,B,N/A
llama3.2,176,2,B,N/A
llama3.2,176,3,A,N/A
llama3.2,176,4,B,N/A
llama3.2,176,5,B,N/A
llama3.2,176,6,B,N/A
llama3.2,176,7,A,N/A
llama3.2,176,8,C,N/A
llama3.2,177,1,B,N/A
llama3.2,177,2,B,N/A
llama3.2,177,3,A,N/A
llama3.2,177,4,C,N/A
llama3.2,177,5,C,N/A
llama3.2,177,6,C,N/A
llama3.2,177,7,C,N/A
llama3.2,177,8,C,N/A
llama3.2,178,1,B,N/A
llama3.2,178,2,B,N/A
llama3.2,178,3,A,N/A
llama3.2,178,4,B,N/A
llama3.2,178,5,B,N/A
llama3.2,178,6,B,N/A
llama3.2,178,7,A,N/A
llama3.2,178,8,C,N/A
llama3.2,179,1,B,N/A
llama3.2,179,2,B,N/A
llama3.2,179,3,A,N/A
llama3.2,179,4,B,N/A
llama3.2,179,5,B,N/A
llama3.2,179,6,B,N/A
llama3.2,179,7,B,N/A
llama3.2,179,8,B,N/A
llama3.2,180,1,B,N/A
llama3.2,180,2,B,N/A
llama3.2,180,3,A,N/A
llama3.2,180,4,A,N/A
llama3.2,180,5,A,N/A
llama3.2,180,6,B,N/A
llama3.2,180,7,B,N/A
llama3.2,180,8,C,N/A
llama3.2,181,1,B,N/A
llama3.2,181,2,B,N/A
llama3.2,181,3,A,N/A
llama3.2,181,4,B,N/A
llama3.2,181,5,B,N/A
llama3.2,181,6,B,N/A
llama3.2,181,7,A,N/A
llama3.2,181,8,B,N/A
llama3.2,182,1,B,N/A
llama3.2,182,2,B,N/A
llama3.2,182,3,B,N/A
llama3.2,182,4,C,N/A
llama3.2,182,5,B,N/A
llama3.2,182,6,C,N/A
llama3.2,182,7,B,N/A
llama3.2,182,8,C,N/A
llama3.2,183,1,A,N/A
llama3.2,183,2,B,N/A
llama3.2,183,3,A,N/A
llama3.2,183,4,A,N/A
llama3.2,183,5,B,N/A
llama3.2,183,6,A,N/A
llama3.2,183,7,A,N/A
llama3.2,183,8,B,N/A
llama3.2,184,1,B,N/A
llama3.2,184,2,B,N/A
llama3.2,184,3,A,N/A
llama3.2,184,4,B,N/A
llama3.2,184,5,A,N/A
llama3.2,184,6,B,N/A
llama3.2,184,7,A,N/A
llama3.2,184,8,B,N/A
llama3.2,185,1,B,N/A
llama3.2,185,2,B,N/A
llama3.2,185,3,B,N/A
llama3.2,185,4,B,N/A
llama3.2,185,5,B,N/A
llama3.2,185,6,B,N/A
llama3.2,185,7,A,N/A
llama3.2,185,8,B,N/A
llama3.2,186,1,B,N/A
llama3.2,186,2,B,N/A
llama3.2,186,3,A,N/A
llama3.2,186,4,A,N/A
llama3.2,186,5,B,N/A
llama3.2,186,6,B,N/A
llama3.2,186,7,A,N/A
llama3.2,186,8,B,N/A
llama3.2,187,1,B,N/A
llama3.2,187,2,C,N/A
llama3.2,187,3,A,N/A
llama3.2,187,4,B,N/A
llama3.2,187,5,C,N/A
llama3.2,187,6,B,N/A
llama3.2,187,7,B,N/A
llama3.2,187,8,B,N/A
llama3.2,188,1,B,N/A
llama3.2,188,2,B,N/A
llama3.2,188,3,A,N/A
llama3.2,188,4,A,N/A
llama3.2,188,5,C,N/A
llama3.2,188,6,B,N/A
llama3.2,188,7,C,N/A
llama3.2,188,8,A,N/A
llama3.2,189,1,B,N/A
llama3.2,189,2,B,N/A
llama3.2,189,3,A,N/A
llama3.2,189,4,B,N/A
llama3.2,189,5,C,N/A
llama3.2,189,6,C,N/A
llama3.2,189,7,A,N/A
llama3.2,189,8,C,N/A
llama3.2,190,1,B,N/A
llama3.2,190,2,B,N/A
llama3.2,190,3,A,N/A
llama3.2,190,4,B,N/A
llama3.2,190,5,B,N/A
llama3.2,190,6,B,N/A
llama3.2,190,7,A,N/A
llama3.2,190,8,A,N/A
llama3.2,191,1,B,N/A
llama3.2,191,2,B,N/A
llama3.2,191,3,A,N/A
llama3.2,191,4,B,N/A
llama3.2,191,5,B,N/A
llama3.2,191,6,B,N/A
llama3.2,191,7,A,N/A
llama3.2,191,8,B,N/A
llama3.2,192,1,B,N/A
llama3.2,192,2,B,N/A
llama3.2,192,3,A,N/A
llama3.2,192,4,B,N/A
llama3.2,192,5,B,N/A
llama3.2,192,6,C,N/A
llama3.2,192,7,A,N/A
llama3.2,192,8,C,N/A
llama3.2,193,1,B,N/A
llama3.2,193,2,B,N/A
llama3.2,193,3,B,N/A
llama3.2,193,4,A,N/A
llama3.2,193,5,B,N/A
llama3.2,193,6,C,N/A
llama3.2,193,7,B,N/A
llama3.2,193,8,C,N/A
llama3.2,194,1,B,N/A
llama3.2,194,2,B,N/A
llama3.2,194,3,A,N/A
llama3.2,194,4,A,N/A
llama3.2,194,5,C,N/A
llama3.2,194,6,C,N/A
llama3.2,194,7,A,N/A
llama3.2,194,8,B,N/A
llama3.2,195,1,B,N/A
llama3.2,195,2,B,N/A
llama3.2,195,3,A,N/A
llama3.2,195,4,C,N/A
llama3.2,195,5,B,N/A
llama3.2,195,6,B,N/A
llama3.2,195,7,A,N/A
llama3.2,195,8,C,N/A
llama3.2,196,1,B,N/A
llama3.2,196,2,B,N/A
llama3.2,196,3,A,N/A
llama3.2,196,4,B,N/A
llama3.2,196,5,B,N/A
llama3.2,196,6,B,N/A
llama3.2,196,7,A,N/A
llama3.2,196,8,B,N/A
llama3.2,197,1,B,N/A
llama3.2,197,2,B,N/A
llama3.2,197,3,A,N/A
llama3.2,197,4,B,N/A
llama3.2,197,5,C,N/A
llama3.2,197,6,B,N/A
llama3.2,197,7,B,N/A
llama3.2,197,8,C,N/A
llama3.2,198,1,B,N/A
llama3.2,198,2,B,N/A
llama3.2,198,3,B,N/A
llama3.2,198,4,B,N/A
llama3.2,198,5,B,N/A
llama3.2,198,6,B,N/A
llama3.2,198,7,A,N/A
llama3.2,198,8,B,N/A
llama3.2,199,1,B,N/A
llama3.2,199,2,B,N/A
llama3.2,199,3,A,N/A
llama3.2,199,4,B,N/A
llama3.2,199,5,B,N/A
llama3.2,199,6,B,N/A
llama3.2,199,7,A,N/A
llama3.2,199,8,C,N/A
llama3.2,200,1,B,N/A
llama3.2,200,2,B,N/A
llama3.2,200,3,A,N/A
llama3.2,200,4,B,N/A
llama3.2,200,5,B,N/A
llama3.2,200,6,B,N/A
llama3.2,200,7,A,N/A
llama3.2,200,8,A,N/A
llama3.2,201,1,B,N/A
llama3.2,201,2,B,N/A
llama3.2,201,3,A,N/A
llama3.2,201,4,B,N/A
llama3.2,201,5,B,N/A
llama3.2,201,6,B,N/A
llama3.2,201,7,A,N/A
llama3.2,201,8,C,N/A
llama3.2,202,1,B,N/A
llama3.2,202,2,B,N/A
llama3.2,202,3,A,N/A
llama3.2,202,4,B,N/A
llama3.2,202,5,C,N/A
llama3.2,202,6,C,N/A
llama3.2,202,7,C,N/A
llama3.2,202,8,C,N/A
llama3.2,203,1,B,N/A
llama3.2,203,2,B,N/A
llama3.2,203,3,A,N/A
llama3.2,203,4,B,N/A
llama3.2,203,5,B,N/A
llama3.2,203,6,B,N/A
llama3.2,203,7,A,N/A
llama3.2,203,8,C,N/A
llama3.2,204,1,B,N/A
llama3.2,204,2,B,N/A
llama3.2,204,3,A,N/A
llama3.2,204,4,C,N/A
llama3.2,204,5,A,N/A
llama3.2,204,6,C,N/A
llama3.2,204,7,C,N/A
llama3.2,204,8,C,N/A
llama3.2,205,1,B,N/A
llama3.2,205,2,B,N/A
llama3.2,205,3,A,N/A
llama3.2,205,4,A,N/A
llama3.2,205,5,A,N/A
llama3.2,205,6,B,N/A
llama3.2,205,7,A,N/A
llama3.2,205,8,B,N/A
llama3.2,206,1,B,N/A
llama3.2,206,2,B,N/A
llama3.2,206,3,A,N/A
llama3.2,206,4,B,N/A
llama3.2,206,5,B,N/A
llama3.2,206,6,B,N/A
llama3.2,206,7,A,N/A
llama3.2,206,8,B,N/A
llama3.2,207,1,B,N/A
llama3.2,207,2,B,N/A
llama3.2,207,3,A,N/A
llama3.2,207,4,B,N/A
llama3.2,207,5,B,N/A
llama3.2,207,6,B,N/A
llama3.2,207,7,B,N/A
llama3.2,207,8,C,N/A
llama3.2,208,1,B,N/A
llama3.2,208,2,B,N/A
llama3.2,208,3,A,N/A
llama3.2,208,4,C,N/A
llama3.2,208,5,B,N/A
llama3.2,208,6,B,N/A
llama3.2,208,7,A,N/A
llama3.2,208,8,B,N/A
llama3.2,209,1,B,N/A
llama3.2,209,2,B,N/A
llama3.2,209,3,A,N/A
llama3.2,209,4,B,N/A
llama3.2,209,5,B,N/A
llama3.2,209,6,B,N/A
llama3.2,209,7,B,N/A
llama3.2,209,8,B,N/A
llama3.2,210,1,B,N/A
llama3.2,210,2,B,N/A
llama3.2,210,3,A,N/A
llama3.2,210,4,B,N/A
llama3.2,210,5,B,N/A
llama3.2,210,6,B,N/A
llama3.2,210,7,B,N/A
llama3.2,210,8,B,N/A
llama3.2,211,1,B,N/A
llama3.2,211,2,B,N/A
llama3.2,211,3,A,N/A
llama3.2,211,4,B,N/A
llama3.2,211,5,B,N/A
llama3.2,211,6,B,N/A
llama3.2,211,7,A,N/A
llama3.2,211,8,B,N/A
llama3.2,212,1,B,N/A
llama3.2,212,2,B,N/A
llama3.2,212,3,A,N/A
llama3.2,212,4,B,N/A
llama3.2,212,5,B,N/A
llama3.2,212,6,C,N/A
llama3.2,212,7,A,N/A
llama3.2,212,8,C,N/A
llama3.2,213,1,B,N/A
llama3.2,213,2,B,N/A
llama3.2,213,3,A,N/A
llama3.2,213,4,B,N/A
llama3.2,213,5,B,N/A
llama3.2,213,6,B,N/A
llama3.2,213,7,B,N/A
llama3.2,213,8,C,N/A
llama3.2,214,1,B,N/A
llama3.2,214,2,C,N/A
llama3.2,214,3,B,N/A
llama3.2,214,4,A,N/A
llama3.2,214,5,B,N/A
llama3.2,214,6,B,N/A
llama3.2,214,7,A,N/A
llama3.2,214,8,A,N/A
llama3.2,215,1,B,N/A
llama3.2,215,2,B,N/A
llama3.2,215,3,A,N/A
llama3.2,215,4,B,N/A
llama3.2,215,5,B,N/A
llama3.2,215,6,B,N/A
llama3.2,215,7,A,N/A
llama3.2,215,8,B,N/A
llama3.2,216,1,B,N/A
llama3.2,216,2,B,N/A
llama3.2,216,3,A,N/A
llama3.2,216,4,B,N/A
llama3.2,216,5,B,N/A
llama3.2,216,6,B,N/A
llama3.2,216,7,A,N/A
llama3.2,216,8,B,N/A
llama3.2,217,1,B,N/A
llama3.2,217,2,B,N/A
llama3.2,217,3,A,N/A
llama3.2,217,4,B,N/A
llama3.2,217,5,B,N/A
llama3.2,217,6,B,N/A
llama3.2,217,7,A,N/A
llama3.2,217,8,B,N/A
llama3.2,218,1,B,N/A
